RE or Non-RE,Group Technology,Year,Sum of Electricity Installed Capacity (MW)
Total Renewable,Wind energy,2000.0,16960.93
Total Renewable,Wind energy,2001.0,23954.161000000004
Total Renewable,Wind energy,2002.0,30722.838999999996
Total Renewable,Wind energy,2003.0,38659.912
Total Renewable,Wind energy,2004.0,47659.86800000001
Total Renewable,Wind energy,2005.0,58463.310999999994
Total Renewable,Wind energy,2006.0,73143.14899999999
Total Renewable,Wind energy,2007.0,91516.51999999999
Total Renewable,Wind energy,2008.0,115475.696
Total Renewable,Wind energy,2009.0,150104.29299999998
Total Renewable,Wind energy,2010.0,181055.236
Total Renewable,Wind energy,2011.0,220297.1639999999
Total Renewable,Wind energy,2012.0,267316.22500000003
Total Renewable,Wind energy,2013.0,299983.721
Total Renewable,Wind energy,2014.0,349691.97699999996
Total Renewable,Wind energy,2015.0,416579.1990000001
Total Renewable,Wind energy,2016.0,467532.7470000001
Total Renewable,Wind energy,2017.0,515218.16200000007
Total Renewable,Wind energy,2018.0,563590.46
Total Renewable,Wind energy,2019.0,622937.6760000002
Total Renewable,Wind energy,2020.0,733779.6460000002
Total Renewable,Wind energy,2021.0,824380.0090000002
Total Renewable,Wind energy,2022.0,903170.9340000004
Total Renewable,Wind energy,2023.0,1019602.7429999997
Total Renewable,Wind energy,2024.0,1132836.6239999996
Total Renewable,Solar energy,2000.0,1105.1
Total Renewable,Solar energy,2001.0,1275.635
Total Renewable,Solar energy,2002.0,1556.4589999999996
Total Renewable,Solar energy,2003.0,2342.085
Total Renewable,Solar energy,2004.0,3426.466
Total Renewable,Solar energy,2005.0,4936.450999999999
Total Renewable,Solar energy,2006.0,6486.789
Total Renewable,Solar energy,2007.0,8959.091999999997
Total Renewable,Solar energy,2008.0,15233.347000000005
Total Renewable,Solar energy,2009.0,23556.505999999998
Total Renewable,Solar energy,2010.0,41398.89200000001
Total Renewable,Solar energy,2011.0,72550.60599999996
Total Renewable,Solar energy,2012.0,102511.56999999995
Total Renewable,Solar energy,2013.0,139477.91899999997
Total Renewable,Solar energy,2014.0,179060.1679999999
Total Renewable,Solar energy,2015.0,227236.40799999988
Total Renewable,Solar energy,2016.0,299167.33200000005
Total Renewable,Solar energy,2017.0,394311.531
Total Renewable,Solar energy,2018.0,490288.6680000001
Total Renewable,Solar energy,2019.0,592653.6159999999
Total Renewable,Solar energy,2020.0,723638.2870000002
Total Renewable,Solar energy,2021.0,866829.7460000006
Total Renewable,Solar energy,2022.0,1060522.2809999997
Total Renewable,Solar energy,2023.0,1413548.2839999988
Total Renewable,Solar energy,2024.0,1865489.9539999992
Total Renewable,Hydropower (excl. Pumped Storage),2000.0,702494.3430000002
Total Renewable,Hydropower (excl. Pumped Storage),2001.0,715469.9
Total Renewable,Hydropower (excl. Pumped Storage),2002.0,726822.7579999998
Total Renewable,Hydropower (excl. Pumped Storage),2003.0,745524.6659999999
Total Renewable,Hydropower (excl. Pumped Storage),2004.0,765682.747
Total Renewable,Hydropower (excl. Pumped Storage),2005.0,787569.7889999999
