Region,RE or Non-RE,Group Technology,Year,Sum of Electricity Installed Capacity (MW)
Africa,Total Renewable,Wind energy,2000.0,139.05
Africa,Total Renewable,Wind energy,2001.0,139.05
Africa,Total Renewable,Wind energy,2002.0,144.31
Africa,Total Renewable,Wind energy,2003.0,153.79000000000002
Africa,Total Renewable,Wind energy,2004.0,236.11
Africa,Total Renewable,Wind energy,2005.0,240.18
Africa,Total Renewable,Wind energy,2006.0,327.9050000000001
Africa,Total Renewable,Wind energy,2007.0,470.1
Africa,Total Renewable,Wind energy,2008.0,555.3000000000001
Africa,Total Renewable,Wind energy,2009.0,742.4000000000002
Africa,Total Renewable,Wind energy,2010.0,864.777
Africa,Total Renewable,Wind energy,2011.0,994.9820000000001
Africa,Total Renewable,Wind energy,2012.0,1131.994
Africa,Total Renewable,Wind energy,2013.0,1741.8339999999998
Africa,Total Renewable,Wind energy,2014.0,2399.398
Africa,Total Renewable,Wind energy,2015.0,3320.268000000001
Africa,Total Renewable,Wind energy,2016.0,3831.3940000000007
Africa,Total Renewable,Wind energy,2017.0,4578.263000000001
Africa,Total Renewable,Wind energy,2018.0,5470.653
Africa,Total Renewable,Wind energy,2019.0,5527.853
Africa,Total Renewable,Wind energy,2020.0,6513.753
Africa,Total Renewable,Wind energy,2021.0,6908.752999999998
Africa,Total Renewable,Wind energy,2022.0,7744.852999999998
Africa,Total Renewable,Wind energy,2023.0,8653.627999999999
Africa,Total Renewable,Wind energy,2024.0,9232.978000000001
Africa,Total Renewable,Solar energy,2000.0,8.355
Africa,Total Renewable,Solar energy,2001.0,9.91
Africa,Total Renewable,Solar energy,2002.0,11.576
Africa,Total Renewable,Solar energy,2003.0,13.419000000000002
Africa,Total Renewable,Solar energy,2004.0,16.116
Africa,Total Renewable,Solar energy,2005.0,19.012
Africa,Total Renewable,Solar energy,2006.0,24.043000000000003
Africa,Total Renewable,Solar energy,2007.0,30.311000000000007
Africa,Total Renewable,Solar energy,2008.0,37.10600000000001
Africa,Total Renewable,Solar energy,2009.0,72.96099999999998
Africa,Total Renewable,Solar energy,2010.0,202.853
Africa,Total Renewable,Solar energy,2011.0,280.4599999999999
Africa,Total Renewable,Solar energy,2012.0,328.3860000000001
Africa,Total Renewable,Solar energy,2013.0,634.4139999999999
Africa,Total Renewable,Solar energy,2014.0,1618.4010000000005
Africa,Total Renewable,Solar energy,2015.0,2114.2479999999996
Africa,Total Renewable,Solar energy,2016.0,3301.3
Africa,Total Renewable,Solar energy,2017.0,5022.779
Africa,Total Renewable,Solar energy,2018.0,7922.207
Africa,Total Renewable,Solar energy,2019.0,9279.042000000003
Africa,Total Renewable,Solar energy,2020.0,10644.069
Africa,Total Renewable,Solar energy,2021.0,11570.480999999996
Africa,Total Renewable,Solar energy,2022.0,12613.919
Africa,Total Renewable,Solar energy,2023.0,13515.594000000003
Africa,Total Renewable,Solar energy,2024.0,15378.029000000002
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2000.0,20842.003
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2001.0,20964.046000000002
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2002.0,21205.190999999995
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2003.0,21582.073999999993
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2004.0,21522.048999999995
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2005.0,21549.699999999997
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2006.0,21521.428
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2007.0,21722.219999999998
